TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,AUX_LEFT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2024-02-26 21:02:13.836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected MuseS-5DE7
2024-02-26 21:02:13.892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2024-02-26 21:02:14.842,0,0.8619409271282964,0.5573062747220433,0,0,0.4989752474876249,0.1977382849064908,0,0,0.3754397238294935,0.2304307831248796,0,0,0.05139011495362381,0.09662419322734891,0,0,-0.1951021206354973,0.00309184766347503,0,0,793.7728937728938,811.0989010989011,0,693.040293040293,470.2197802197803,-0.214417,-0.019958,0.969543,1.398163,-0.882263,-4.336548,1,4,1,1,4,45.000000
2024-02-26 21:02:15.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2024-02-26 21:02:15.797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2024-02-26 21:02:15.837,0,0.2418366124485516,0.1908947815912725,0,0,-0.3556645529906187,-0.08185532747192653,0,0,0.1045382267613678,0.161491858882191,0,0,0.1801672144423852,0.257012854959966,0,0,-0.225520715789428,-0.1567242356875344,0,0,803.040293040293,802.6373626373627,0,654.3589743589744,460.1465201465202,-0.094543,-0.008240,1.010254,6.975861,-1.353302,6.512299,1,4,1,1,4,45.000000
2024-02-26 21:02:16.837,0,0.1709266595946778,0.3112242362690032,0,0,-0.1689428343253542,-0.2235995159898732,0,0,0.2868258408112965,0.1501953396006523,0,0,0.2547659648678081,0.3180422278338651,0,0,-0.1525422380938649,0.01399428650028045,0,1615.347985347985,787.7289377289378,802.6373626373627,1602.857142857143,1254.725274725275,1305.494505494506,-0.207764,0.013733,0.988770,5.921631,1.996307,5.271149,1,4,1,1,4,45.000000
2024-02-26 21:02:17.840,0,-0.2107170955145405,0.1013850061487381,0,0,-0.1747857643409357,-0.3853536310871345,0,0,0.2158776156190645,-0.07379902809518976,0,0,0.07331361239023244,0.1500848203955601,0,0,-0.2723212937800985,-0.08456641881949195,0,971.4652014652015,798.2051282051282,796.1904761904763,738.974358974359,761.941391941392,628.974358974359,-0.178467,-0.007202,0.990601,7.514191,-5.375824,6.773987,1,4,1,1,4,45.000000
2024-02-26 21:02:18.463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-02-26 21:02:18.837,0,-0.07837425036600724,0.1036994612282662,0,0,-0.00208204442306425,-0.2154713815694984,0,0,0.1304650412089683,0.209690968827382,0,0,0.09219531239628208,0.1350774209787348,0,0,-0.2213086712244824,-0.08499545799417887,0,0,797.3992673992674,805.4578754578755,0,754.6886446886447,576.1904761904763,-0.119629,-0.000061,1.007263,6.430054,-1.188812,5.674896,1,4,1,1,4,45.000000
2024-02-26 21:02:19.848,0,0.01295272273933687,0.05345598146843075,0,0,-0.1903555969644551,-0.1114209912138598,0,0,0.2277364870820778,0.1572353913217061,0,0,0.07024371846022544,0.1402959218968951,0,0,-0.2627755790893586,-0.04519234206776095,0,1073.406593406593,790.952380952381,805.8608058608058,966.2271062271062,707.1428571428571,505.6776556776557,-0.117859,0.013123,1.009827,6.183319,-3.379517,5.988922,1,4,1,1,4,45.000000
2024-02-26 21:02:20.837,0,-0.4300092180008256,-0.2953150464005482,0,0,-0.2348322340537886,-0.3083647574717459,0,0,0.2792817614392158,0.2255796770307453,0,0,-0.1294017556757026,0.1285304058116003,0,0,-0.2407509590365073,0.02220863992223161,0,880.8058608058608,799.0109890109891,794.5787545787546,695.0549450549451,901.7582417582418,645.8974358974359,-0.147034,-0.032715,1.004822,14.228363,2.063599,7.955322,1,4,1,1,4,45.000000
2024-02-26 21:02:21.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-02-26 21:02:21.837,0,-0.3726490179297376,-0.2069461485166789,0,0,-0.1794159420322279,-0.3566120232068519,0,0,0.1706690001165161,0.2761734694562838,0,0,0.02616746182350862,0.2097986952035897,0,0,-0.4177127178029406,-0.04726149336144666,0,442.8205128205128,793.3699633699634,803.8461538461539,257.8754578754579,700.6959706959707,444.0293040293041,-0.142334,0.040466,1.002502,5.278625,-2.915955,4.553375,1,4,1,1,4,45.000000
2024-02-26 21:02:22.836,0,0.7233642114683763,0.2154001137851155,0,0,0.347415017015262,-0.3560355129115786,0,0,0.1745273364689526,-0.03360424397612532,0,0,0.06125178557957887,0.08148433967433358,0,0,-0.177278803887041,-0.08905191203421024,0,89.45054945054946,803.4432234432235,802.6373626373627,66.08058608058609,761.1355311355312,636.2271062271062,-0.122864,0.012634,1.004089,5.600128,-1.637421,5.398254,1,4,1,1,4,45.000000
2024-02-26 21:02:22.924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-02-26 21:02:23.837,0,0.7707111786133947,0.2895491027148074,0,0,0.4442476175044126,-0.2120284717333553,0,0,0.2678292179913188,-0.1701307124216889,0,0,0.01597433484121524,-0.201346020863182,0,0,-0.2818313756985921,-0.1254181941479275,0,1370.769230769231,788.9377289377289,799.0109890109891,1273.663003663004,845.7509157509157,682.967032967033,-0.124695,0.007812,1.007996,6.534729,-1.816864,7.394562,1,4,1,1,4,45.000000
2024-02-26 21:02:24.837,0,0.1252305261062925,-0.09254586374986995,0,0,-0.1107101490987713,-0.2535466982026903,0,0,0.2421219302846023,-0.1655222654021668,0,0,-0.01053567833151771,-0.09518652781691543,0,0,-0.4329904711219209,-0.4094445446896829,0,1617.765567765568,795.3846153846154,799.4139194139194,1610.512820512821,777.6556776556777,585.8608058608058,-0.140198,-0.000793,1.004395,5.734711,-2.736511,4.807587,1,4,1,1,4,45.000000
2024-02-26 21:02:25.837,0,-0.3880977887412873,-0.2648078921065982,0,0,-0.1844413635070164,-0.1681010875503703,0,0,-0.05260931444278057,0.178133020506534,0,0,-0.07350103545020771,-0.06132864319913372,0,0,-0.4648259087796124,-0.578487029665093,0,59.23076923076923,801.025641025641,801.8315018315019,54.7985347985348,855.4212454212454,728.0952380952381,-0.138550,0.006775,1.005981,6.527252,-2.826233,5.757141,1,4,1,1,4,45.000000
2024-02-26 21:02:26.837,0,-0.4887306131637311,-0.2467205495301151,0,0,-0.3030225871186426,0.001244244577412906,0,0,0.07554599034421806,0.1578260683336918,0,0,-0.07659139375051202,0.004560255135867519,0,0,-0.4205950325062831,-0.4102766274952956,0,152.7106227106227,796.996336996337,797.8021978021978,1640.32967032967,690.6227106227107,561.2820512820513,-0.158752,-0.007385,1.000305,6.175842,-0.396271,2.953339,1,4,1,1,4,45.000000
2024-02-26 21:02:27.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2024-02-26 21:02:27.837,0,-0.5347776993348095,0.03069589980432177,0,0,-0.4242862790347871,-0.07380542065501509,0,0,0.1770152880129945,0.1671827652399094,0,0,0.09851988097445975,0.05077234045833474,0,0,-0.2043385267097732,-0.1464939879741017,0,1454.175824175824,798.6080586080586,796.1904761904763,1573.846153846154,558.0586080586081,430.7326007326008,-0.148682,-0.022095,1.002747,5.256195,-3.491669,4.149628,1,4,1,1,4,45.000000
2024-02-26 21:02:28.836,0,-0.3571707230477719,0.1847158664009307,0,0,-0.2074590729818477,0.09357179318945923,0,0,0.1912452545202994,0.1116749009729565,0,0,0.1522252516113808,0.05864828493663638,0,0,-0.03143506522720141,-0.006204669880029185,0,1124.981684981685,799.8168498168499,801.025641025641,1177.362637362637,962.6007326007326,758.3150183150184,-0.136963,-0.024902,0.999695,6.130981,-2.243042,5.689850,1,4,1,1,4,45.000000
2024-02-26 21:02:29.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2024-02-26 21:02:29.837,0,-0.07000478899876617,0.07848494645692522,0,0,-0.3419193024145583,0.1188140669086006,0,0,0.07622842009757,-0.05643479430835587,0,0,0.1429149269312267,-0.1321711385267525,0,0,-0.07071227010792729,-0.0814719813817666,0,148.6813186813187,796.996336996337,799.4139194139194,143.4432234432234,788.5347985347986,582.2344322344322,-0.137878,-0.024231,1.003662,6.968384,-1.929016,5.772095,1,4,1,1,4,45.000000
2024-02-26 21:02:30.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2024-02-26 21:02:30.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2024-02-26 21:02:30.838,0,-0.06848592326869299,-0.03526784133197564,0,0,-0.1951681105342157,-0.01796496195421188,0,0,-0.01476804985593902,0.03462600646250213,0,0,-0.02334373691550281,-0.1789829055129619,0,0,-0.04735277523116824,-0.03658692857730395,0,927.1428571428572,801.4285714285714,795.3846153846154,918.6813186813187,660.8058608058608,465.3846153846154,-0.152100,-0.004822,1.000488,6.467438,-3.334656,5.637512,1,4,1,1,4,45.000000
2024-02-26 21:02:30.916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-02-26 21:02:31.450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2024-02-26 21:02:31.541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2024-02-26 21:02:31.837,0,-0.1265305181671167,-0.2285456469564573,0,0,0.05154942087265063,-0.1162266695435048,0,0,0.07278892595076018,-0.04908063858198214,0,0,0.07147558447895744,-0.05118906548164458,0,0,0.04945311738802178,0.08752220367932033,0,1235.787545787546,804.2490842490843,804.2490842490843,1394.139194139194,733.3333333333334,580.2197802197802,-0.173462,0.000671,0.984985,0.179443,3.028107,-0.859833,1,4,1,1,4,45.000000
2024-02-26 21:02:32.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2024-02-26 21:02:32.845,0,0.251441408462752,0.3590872896250124,0,0,0.02657368401129238,0.03323516267715027,0,0,0.007998143134382471,0.1599476619327694,0,0,0.3036718164407577,0.1879711108169569,0,0,-0.04020035063125142,0.1315957764442921,0,1473.516483516484,789.7435897435897,792.1611721611722,1558.131868131868,772.4175824175825,612.4542124542124,-0.138123,-0.060791,1.003479,7.544098,-0.358887,7.671204,1,4,1,1,4,45.000000
2024-02-26 21:02:33.603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2024-02-26 21:02:33.780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2024-02-26 21:02:33.843,0,0.1704815674205894,0.4453957314399218,0,0,-0.2662686688102812,0.01068832601325724,0,0,-0.01439387273116868,-0.1074670642160421,0,0,0.2979938854977282,0.0735974828998185,0,0,-0.03306924434584662,0.01242510871468225,0,685.7875457875458,797.3992673992674,806.6666666666667,725.6776556776557,823.992673992674,700.6959706959707,-0.163574,-0.036560,1.006104,6.228180,-3.267365,5.443115,1,4,1,1,4,45.000000
2024-02-26 21:02:34.836,0,-0.1290124714415751,0.1255826671449798,0,0,-0.3294560385635537,-0.05613098233026202,0,0,-0.09152214618823135,0.15987946683469,0,0,-0.05331501295552327,-0.1096342927213029,0,0,0.0173263307765596,-0.1100718031478825,0,93.88278388278388,788.5347985347986,806.6666666666667,92.67399267399267,884.0293040293041,739.7802197802198,-0.141724,-0.001099,1.003052,5.779572,-1.465454,4.987030,1,4,1,1,4,45.000000
2024-02-26 21:02:35.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2024-02-26 21:02:35.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2024-02-26 21:02:35.837,0,-0.09678782533087942,-0.2774422063167543,0,0,-0.2669787381987027,-0.1785488125654409,0,0,0.2481020167799395,0.06814270882437015,0,0,0.03549600282417417,-0.001302743326887881,0,0,-0.1994436240193667,-0.1143171488736172,0,682.1611721611722,790.952380952381,801.8315018315019,814.7252747252747,883.6263736263736,846.1538461538462,-0.139343,-0.010010,1.004944,6.287994,-2.407532,6.198273,1,4,1,1,4,45.000000
2024-02-26 21:02:36.839,0,0.1945271107527719,0.1097030167291971,0,0,0.007999597493626604,-0.2036888590535215,0,0,0.3668350908874101,0.1419372121011349,0,0,0.02693530364264823,-0.08889099615058672,0,0,-0.3207900614482332,-0.2927825917900283,0,51.17216117216118,794.981684981685,788.5347985347986,43.11355311355312,535.0915750915751,332.4175824175824,-0.125366,-0.010193,1.007568,6.519775,-3.259888,5.420685,1,4,1,1,4,45.000000
2024-02-26 21:02:37.837,0,0.4046210616916464,0.5517406297228876,0,0,0.1230780726309378,-0.1078846143277043,0,0,0.3852114739934464,0.152424924022665,0,0,-0.0689325474317135,-0.1363450460931632,0,0,-0.3489087683631491,-0.5626210764613719,0,482.3076923076923,797.3992673992674,814.7252747252747,560.0732600732601,823.5897435897436,702.3076923076924,-0.123291,-0.012024,1.004761,5.218811,-3.080444,4.329071,1,4,1,1,4,45.000000
2024-02-26 21:02:38.838,0,0.03949877640759528,0.5978865596180941,0,0,-0.0573656717061856,-0.1873652730973146,0,0,0.3205957562801143,0.1726505203073663,0,0,0.08099346234490055,-0.1384362443158809,0,0,-0.2988566870497906,-0.352311433572543,0,0,795.7875457875458,808.2783882783883,0,827.2161172161173,630.989010989011,-0.118042,-0.010071,1.004883,6.833801,-3.207550,6.811371,1,4,1,1,4,45.000000
2024-02-26 21:02:39.853,0,0.04237891834284187,0.5861068782345756,0,0,-0.1254023245718703,-0.1868345226618912,0,0,0.1547035498520538,0.1006007181538204,0,0,0.01697665706965891,-0.02112460110590473,0,0,-0.3200471251771317,-0.3174259787454037,0,0,793.3699633699634,803.4432234432235,0,818.3516483516484,740.1831501831502,-0.124268,-0.015747,0.997620,3.843079,-0.007477,0.672913,1,4,1,1,4,45.000000
2024-02-26 21:02:40.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
